Account_Number,Account_Name,Property_Code,Account_Base_Name,Account_Sub_Detail,Total_Balance,Is_Accumulated,Target_Account_Name,Target_Account_Code,Action,Notes
1110-4990,SS of LaPorte Barrington Bank Wintrust,nan,SS of LaPorte Barrington Bank,Wintrust,-17572.9,False,Corporate Cash,1110-4990,keep,Standardized naming for cash account.
1110-5200,PanAmerican China Grove T&I,nan,PanAmerican China Grove T&I,nan,1260.18,False,Corporate Cash,1110-5200,keep,Standardized naming for cash account.
1131-0000,Petty Cash Ledger,nan,Petty Cash Ledger,nan,397.0,False,Petty Cash Cash,1131,keep,Standardized naming for petty cash account.
1200-0001,Interest Reserve,nan,Interest Reserve,nan,2542555.46,False,Corporate Cash Reserve,1200-0001,keep,Interest Reserve account
1200-0003,Escrow Reserve,nan,Escrow Reserve,nan,2463615.2200000007,False,Corporate Cash Reserve,1200-0003,merge,Escrow Reserve account merged into Corporate Cash Reserve
1200-0004,Escrow Construction,nan,Escrow Construction,nan,2547697.9,False,Corporate Cash Reserve,1200-0004,merge,Escrow Construction account merged into Corporate Cash Reserve
1200-0005,Utility Security Deposits,nan,Utility Security Deposits,nan,96282.44,False,Corporate Cash Reserve,1200-0005,merge,Utility Security Deposits account merged into Corporate Cash Reserve
1200-0006,Crown Point West Centier,nan,Crown Point West,Centier,543507.48,False,Crown Point West Operating Cash,1200-0006,keep,Crown Point West Centier account
1200-0008,SS of Crown Point West Held,nan,SS of Crown Point West Held,nan,310216.0,False,Crown Point West Operating Cash,1200-0008,merge,SS of Crown Point West Held account merged into Crown Point West Operating Cash
1200-0009,2201 3rd Party Operating Account,2201,3rd Party Operating Account,nan,174079.38,False,2201 Operating Cash,1200-0009,keep,3rd Party Operating Account for property 2201
1200-0010,Bank Held Funds Account,nan,Bank Held Funds Account,nan,550010.0,False,Corporate Cash Reserve,1200-0010,merge,Bank Held Funds Account merged into Corporate Cash Reserve
1300-0000,Accounts Receivable,nan,Accounts Receivable,nan,4894692.960000001,False,Accounts Receivable,AR,keep,Standard accounts receivable account.
1350-0001,Pre-Paid Insurance,nan,Pre-Paid Insurance,nan,327843.8,False,Corporate Pre-Paid Insurance,1350-0001,keep,Non-accumulated account
1350-0002,Pre-Paid Association Fees,nan,Pre-Paid Association Fees,nan,1383.0,False,Corporate Pre-Paid Association Fees,1350-0002,keep,Non-accumulated account
1350-9000,Pre-Paid Expenses - Other,nan,Pre-Paid Expenses,Other,15130.64,False,Corporate Pre-Paid Expenses - Other,1350-9000,keep,Non-accumulated account
1401-0003,Commercial Building,nan,Commercial Building,nan,9981063.46,False,Corporate Cash,CC-001,keep,Non-accumulated cash account.
1401-0004,MASS Units,nan,MASS Units,nan,469627.88,False,Corporate Cash,CC-001,merge,"Non-accumulated cash account, merging into Corporate Cash."
1401-1000,Auction Funds,nan,Auction Funds,nan,-780.0,False,Corporate Cash,CC-001,merge,"Non-accumulated cash account, merging into Corporate Cash."
1410-0000,Land,nan,Land,nan,28254005.5,False,Corporate Land,1410,keep,Primary land account
1410-0001,Land  754 Adj,nan,Land  754 Adj,nan,6630.4,False,Corporate Land Adjustment,1410,keep,Adjustment account for land
1500-0000,Building,nan,Building,nan,164011641.26,False,Corporate Cash,CC-001,keep,Standardized naming for cash account.
1500-0001,5 Year Property,nan,5 Year Property,nan,8346165.1,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0005,Building  754 Adj,nan,Building  754 Adj,nan,76058.44,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0010,Building Improvements,nan,Building Improvements,nan,75495775.5,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0015,Land Improvements,nan,Land Improvements,nan,4729942.42,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0017,Tenant Improvements,nan,Tenant Improvements,nan,3824972.28,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0020,5 YR Rental Real Estate Prop.,nan,5 YR Rental Real Estate Prop.,nan,18364.0,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0025,Appliances,nan,Appliances,nan,5666.06,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0026,Virtual Counter Equipment,nan,Virtual Counter Equipment,nan,405408.0,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0030,Furniture AND  Fixtures,nan,Furniture AND  Fixtures,nan,25924.38,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0031,Vehicle Purchased,nan,Vehicle Purchased,nan,253443.22000000003,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0037,Lease Fees,nan,Lease Fees,nan,255821.66,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0040,Loan Fees  A,nan,Loan Fees  A,nan,4418291.96,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0045,Loan Fees  B,nan,Loan Fees  B,nan,745708.12,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0046,Loan Admin Fees,nan,Loan Admin Fees,nan,221.62,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0050,AD Building,nan,AD Building,nan,-14589256.84,False,Corporate Cash,CC-001,merge,Merged into Corporate Cash.
1500-0051,A/D 5 Year Property,nan,5 Year Property,nan,10394603.28,True,A/D 5 Year Property,AD-005,keep,"Accumulated account, kept separate."
1500-0060,A/D Building Improvements,nan,Building Improvements,nan,-3701120.26,True,A/D Building Improvements,AD-010,keep,"Accumulated account, kept separate."
1500-0065,A/D Land Improvements,nan,Land Improvements,nan,-760161.6,True,A/D Land Improvements,AD-015,keep,"Accumulated account, kept separate."
1500-0066,A/D Tenant Improvements,nan,Tenant Improvements,nan,-807570.46,True,A/D Tenant Improvements,AD-020,keep,"Accumulated account, kept separate."
1500-0067,A/D 7 Year Assets,nan,7 Year Assets,nan,-69574.08,True,A/D 7 Year Assets,AD-025,keep,"Accumulated account, kept separate."
1500-0070,A/D 5 YR Rental Real Estate Pr,nan,5 YR Rental Real Estate Pr,nan,-21912.0,True,A/D 5 YR Rental Real Estate Pr,AD-030,keep,"Accumulated account, kept separate."
1500-0080,A/D Furniture & Fixtures,nan,Furniture & Fixtures,nan,-11665.94,True,A/D Furniture & Fixtures,AD-035,keep,"Accumulated account, kept separate."
1500-0085,A/A Loan Fees - A,nan,Loan Fees,A,-1665192.66,True,A/A Loan Fees - A,AA-001,keep,"Accumulated account, kept separate."
1500-0090,A/A Loan Fees - B,nan,Loan Fees,B,-92202.0,True,A/A Loan Fees - B,AA-002,keep,"Accumulated account, kept separate."
1500-0091,A/A Lease Fees,nan,Lease Fees,nan,-202980.08,True,Corporate Accumulated Lease Fees,1500-0091,keep,"Accumulated account, distinct from non-accumulated accounts."
1500-0095,A/A Organization Costs,nan,Organization Costs,nan,-1787994.0,True,Corporate Accumulated Organization Costs,1500-0095,keep,"Accumulated account, distinct from non-accumulated accounts."
1600-0001,General Conditions,nan,General Conditions,nan,360.0,False,General Conditions Cash,1600-0001,keep,Standardized naming
1600-0003,Carpentry & Finishes,nan,Carpentry & Finishes,nan,-1660.0,False,Carpentry & Finishes Cash,1600-0003,keep,Standardized naming
1600-0005,Permits,nan,Permits,nan,21014.2,False,Permits Cash,1600-0005,keep,Standardized naming
1600-0009,Electric,nan,Electric,nan,-243.7,False,Electric Cash,1600-0009,keep,Standardized naming
1600-0012,Elevator,nan,Elevator,nan,251507.2,False,Elevator Cash,1600-0012,keep,Standardized naming
1600-0013,HVAC,nan,HVAC,nan,35430.0,False,HVAC Cash,1600-0013,keep,Standardized naming
1600-0015,Survey,nan,Survey,nan,22171.0,False,Survey Cash,1600-0015,keep,Standardized naming
1600-0020,Engineering,nan,Engineering,nan,53813.0,False,Engineering Cash,1600-0020,keep,Standardized naming
1600-0035,Architect,nan,Architect,nan,359497.5,False,Architect Cash,1600-0035,keep,Standardized naming
1600-0036,Insurance,nan,Insurance,nan,10312.16,False,Insurance Cash,1600-0036,keep,Standardized naming
1600-0037,Soft Costs,nan,Soft Costs,nan,739172.82,False,Soft Costs Cash,1600-0037,keep,Standardized naming
1600-0038,Resident Relocation,nan,Resident Relocation,nan,28700.0,False,Resident Relocation Cash,1600-0038,keep,Standardized naming
1600-0049,Construction Managment Fee,nan,Construction Managment Fee,nan,5050.0,False,Construction Management Fee Cash,1600-0049,keep,Standardized naming
1600-1001,Draw 1,nan,Draw 1,nan,2669585.0200000005,False,Draw 1 Cash,1600-1001,keep,Standardized naming
1600-1002,Draw 2,nan,Draw 2,nan,3448827.62,False,Draw 2 Cash,1600-1002,keep,Standardized naming
1600-1003,Draw 3,nan,Draw 3,nan,4411080.76,False,Draw 3 Cash,1600-1003,keep,Standardized naming
1600-1004,Draw 4,nan,Draw 4,nan,5007091.2,False,Draw 4 Cash,1600-1004,keep,Standardized naming
1600-1005,Draw 5,nan,Draw 5,nan,5242972.5600000005,False,Draw 5 Cash,1600-1005,keep,Standardized naming
1600-1006,Draw 6,nan,Draw 6,nan,4487136.08,False,Draw 6 Cash,1600-1006,keep,Standardized naming
1600-1007,Draw 7,nan,Draw 7,nan,3333817.1,False,Draw 7 Cash,1600-1007,keep,Standardized naming
1600-1008,Draw 8,nan,Draw 8,nan,3621459.68,False,Draw 8 Cash,1600-1008,keep,Standardized naming
1600-1009,Draw 9,nan,Draw 9,nan,1777516.44,False,Draw 9 Cash,1600-1009,keep,Standardized naming
1600-1010,Draw 10,nan,Draw 10,nan,4090141.0,False,Draw 10 Cash,1600-1010,keep,Standardized naming
1600-1011,Draw 11,nan,Draw 11,nan,2129821.66,False,Draw 11 Cash,1600-1011,keep,Standardized naming
1600-1012,Draw 12,nan,Draw 12,nan,129721.04,False,Draw 12 Cash,1600-1012,keep,Standardized naming
1600-1013,Draw 13,nan,Draw 13,nan,1666479.86,False,Corporate Operating Cash,COC,merge,Merged into Corporate Operating Cash
1600-1014,Draw 14,nan,Draw 14,nan,1680168.18,False,Corporate Operating Cash,COC,merge,Merged into Corporate Operating Cash
1600-1015,Draw 15,nan,Draw 15,nan,2649754.96,False,Corporate Operating Cash,COC,merge,Merged into Corporate Operating Cash
1600-1016,Draw 16,nan,Draw 16,nan,2339355.44,False,Corporate Operating Cash,COC,merge,Merged into Corporate Operating Cash
1600-1017,Draw 17,nan,Draw 17,nan,39056.12,False,Corporate Operating Cash,COC,merge,Merged into Corporate Operating Cash
1770-0000,Personal Property,nan,Personal Property,nan,11998558.759999998,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account.
1770-0001,Goodwill and other Intangibles,nan,Goodwill and other Intangibles,nan,22510866.6,False,Corporate Goodwill,INTANG-001,keep,Non-accumulated goodwill account.
1800-1000,Merchandise Supplies,nan,Merchandise Supplies,nan,-199.9,False,Corporate Merchandise Supplies,1800,keep,Account is not accumulated and is kept as is.
1900-0001,Earnest Money Deposit,nan,Earnest Money Deposit,nan,170000.0,False,Corporate Cash,1900-0001,keep,Earnest Money Deposit
1900-0002,Note Receivable,nan,Note Receivable,nan,0.0,False,Corporate Cash,1900-0002,keep,Note Receivable
1900-1000,Investment in Storsafe of Michigan City,nan,Investment in Storsafe of Michigan City,nan,2027131.54,False,Corporate Investment in Storsafe of Michigan City,1900-1000,keep,Investment in Storsafe of Michigan City
1900-1002,Investment in Storsafe of Silver Springs,nan,Investment in Storsafe of Silver Springs,nan,9734000.98,False,Corporate Investment in Storsafe of Silver Springs,1900-1002,keep,Investment in Storsafe of Silver Springs
1900-1003,Investment in Storsafe of Rockledge,nan,Investment in Storsafe of Rockledge,nan,8626850.06,False,Corporate Investment in Storsafe of Rockledge,1900-1003,keep,Investment in Storsafe of Rockledge
1900-1004,Investment in Storsafe of Palm Bay,nan,Investment in Storsafe of Palm Bay,nan,8433579.82,False,Corporate Investment in Storsafe of Palm Bay,1900-1004,keep,Investment in Storsafe of Palm Bay
1900-1005,Investment in Storsafe of Crown Point West,nan,Investment in Storsafe of Crown Point West,nan,7619198.5,False,Corporate Investment in Storsafe of Crown Point West,1900-1005,keep,Investment in Storsafe of Crown Point West
1900-1006,Investment in Storsafe of Merrillville South,nan,Investment in Storsafe of Merrillville South,nan,4091944.5,False,Corporate Investment in Storsafe of Merrillville South,1900-1006,keep,Investment in Storsafe of Merrillville South
1900-1007,Investment in Storsafe of Wildwood,nan,Investment in Storsafe of Wildwood,nan,11714424.0,False,Corporate Investment in Storsafe of Wildwood,1900-1007,keep,Investment in Storsafe of Wildwood
1900-1008,Investment in Storsafe of Candler,nan,Investment in Storsafe of Candler,nan,4817992.0,False,Corporate Investment in Storsafe of Candler,1900-1008,keep,Investment in Storsafe of Candler
1900-1009,Investment in Storsafe of Downtown Venice,nan,Investment in Storsafe of Downtown Venice,nan,5285736.0,False,Corporate Investment in Storsafe of Downtown Venice,1900-1009,keep,Investment in Storsafe of Downtown Venice
1900-1011,Investment in Storsafe of China Grove,nan,Investment in Storsafe of China Grove,nan,4334620.0,False,Corporate Investment in Storsafe of China Grove,1900-1011,keep,Investment in Storsafe of China Grove
1900-1012,Investment in Storsafe of Cedar Lake,nan,Investment in Storsafe of Cedar Lake,nan,8471786.0,False,Corporate Investment in Storsafe of Cedar Lake,1900-1012,keep,Investment in Storsafe of Cedar Lake
1900-1013,Investment in Storsafe of Lexington,nan,Investment in Storsafe of Lexington,nan,2349623.44,False,Corporate Investment in Storsafe of Lexington,1900-1013,keep,Investment in Storsafe of Lexington
1910-0001,Disputed Bank Transaction,nan,Disputed Bank Transaction,nan,4997.92,False,Disputed Bank Transaction,1910,keep,Account is not accumulated and needs to be kept for tracking disputed transactions.
2100-1003,Loan from Fund IV,nan,Loan from Fund IV,nan,775919.66,False,Corporate Loan Cash,2100-1003,keep,Primary loan account
2100-1004,Loan from Storsafe Self Storage Management,nan,Loan from Storsafe Self Storage Management,nan,0.12,False,Corporate Loan Cash,2100-1003,merge,Merge into Corporate Loan Cash
2100-1005,Loan from MetCap Credit Line (Elmdale),nan,Loan from,MetCap Credit Line (Elmdale),977607.42,False,Corporate Loan Cash,2100-1003,merge,Merge into Corporate Loan Cash
2100-1006,Loan from SS Fund III,nan,Loan from SS Fund III,nan,199674.68,False,Corporate Loan Cash,2100-1003,merge,Merge into Corporate Loan Cash
2110-0000,Note 1 Principal,nan,Note 1 Principal,nan,157236882.7,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account
2120-0000,Note 2 Principal,nan,Note 2 Principal,nan,42816652.56,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account
2130-0000,Note 3 Principal,nan,Note 3 Principal,nan,48932969.34,False,Corporate Cash,CASH-001,keep,Non-accumulated cash account
2135-0000,Note 4 Principal,nan,Note 4 Principal,nan,2589480.0,False,Corporate Cash Loan - Note 4 Principal,CASH_LOAN_NOTE4,keep,Non-accumulated cash loan account.
2135-0010,Pace Equity Loan,nan,Pace Equity Loan,nan,6056220.0,False,Corporate Cash Loan - Pace Equity Loan,CASH_LOAN_PACE,keep,Non-accumulated cash loan account.
2135-0020,Equipment Financing,nan,Equipment Financing,nan,-127830.0,False,Corporate Cash Loan - Equipment Financing,CASH_LOAN_EQUIP,keep,Non-accumulated cash loan account.
2135-0030,Member 1 Loan,nan,Member 1 Loan,nan,1616291.4,False,Corporate Cash Loan - Member 1 Loan,CASH_LOAN_MEMBER1,keep,Non-accumulated cash loan account.
2135-0040,Member 2 Loan,nan,Member 2 Loan,nan,383708.6,False,Corporate Cash Loan - Member 2 Loan,CASH_LOAN_MEMBER2,keep,Non-accumulated cash loan account.
2140-0000,Lease Payable,nan,Lease Payable,nan,-26336.8,False,Corporate Lease Payable,CLP,keep,Account is a lease payable and should be kept as is.
2150-0000,Transfer To From Liability,nan,Transfer To From Liability,nan,677520.44,False,Corporate Cash Transfer,2150-0000,keep,"Transfer account, keep as is."
2150-0007,Due To/From Elmdale Commercial,nan,Due To/From Elmdale Commercial,nan,2738577.54,False,Corporate Cash Due To/From Elmdale Commercial,2150-0007,keep,Unique due to/from account.
2150-0009,Due To/(From) Adam Freeman,nan,Due To/(From) Adam Freeman,nan,46057.3,False,Corporate Cash Due To/From Adam Freeman,2150-0009,keep,Unique due to/from account.
2150-0011,Due To/(From) EP Legacy,nan,Due To/(From) EP Legacy,nan,42088.3,False,Corporate Cash Due To/From EP Legacy,2150-0011,keep,Unique due to/from account.
2150-0013,Due To/(From) C21,nan,Due To/(From) C21,nan,-4652.3,False,Corporate Cash Due To/From C21,2150-0013,keep,Unique due to/from account.
2150-0014,Due To/(From) EP SEF III,nan,Due To/(From) EP SEF III,nan,245926.7,False,Corporate Cash Due To/From EP SEF III,2150-0014,keep,Unique due to/from account.
2150-0017,Due To/(From) EP Construction,nan,Due To/(From) EP Construction,nan,543434.48,False,Corporate Cash Due To/From EP Construction,2150-0017,keep,Unique due to/from account.
2150-0020,Due To/(From) Other Property,nan,Due To/(From) Other Property,nan,-6377.940000000059,False,Corporate Cash Due To/From Other Property,2150-0020,keep,Unique due to/from account.
2150-0021,Due To/(From) EP SEF IV,nan,Due To/(From) EP SEF IV,nan,32794.2,False,Corporate Cash Due To/From EP SEF IV,2150-0021,keep,Unique due to/from account.
2150-0022,Due To/(From) SSSM,nan,Due To/(From) SSSM,nan,-52530.02,False,Corporate Cash Due To/From SSSM,2150-0022,keep,Unique due to/from account.
2200-0000,Accounts Payable,nan,Accounts Payable,nan,4963127.84,False,Corporate Accounts Payable,AP,keep,Standardized naming for accounts payable.
2200-1000,Accrued Liabilities,nan,Accrued Liabilities,nan,160393.1,False,Corporate Accrued Liabilities,AL,keep,Standardized naming for accrued liabilities.
